isabella;isabella@javeriana.edu.co;1234;Conductor;ingenieria 
pepe;pepe@javeriana.edu.co;123;Conductor;medicina
marta;marta@javeriana.edu.co;isabella;Conductor;medicina
meme;meme@javeriana.edu.co;1234;Conductor;medicina
samuel;robayosamuel@javeriana.edu.co;12345;Pasajero;ingenieria de sistemas
samu;samuel@javeriana.edu.co;123;Conductor;medicina
Jose Guerrero;jose-guerrerol@javeriana.edu.co;1234;Pasajero;Sistemas
andres;andres@javeriana.edu.co;1234;Conductor;Conductor
jose;jose@javeriana.edu.co;1234;Pasajero;Sistemas
Pepe Perez;jfajfhjfa@javeriana.edu.co;Hola123;Pasajero;Ingenieria de sistemas
pepe perez;jkdasjfja@javeriana.edu.co;Hola123;Pasajero;medicina
pepe perez;jfdafaf@javeriana.edu.co;Hola123;Pasajero;medicina
pepe perez;jfajfahfkj@javeriana.edu.co;Hola123;Pasajero;medicina
pepe perez;jadjahf@javeriana.edu.co;Hola123;Pasajero;medicina
pepe perez;gjsjfabf@javeriana.edu.co;Hola123;Pasajero;medicina
pepe per;fdkajfa@javeriana.edu.co;hola123;Pasajero;medicina
felipe;rodriguezfelipe@javeriana.edu.co;1234;Pasajero;arquitectura
samu;r@javeriana.edu.co;1357;Conductor;ciencias
jorge;123@javeriana.edu.co;1234;Conductor;ostia
papu;papu@javeriana.edu.co;papu123;Pasajero;arquitectura
papu;áú@javeriana.edu.co;papu1234;Pasajero;administración
oa;oa @javeriana.edu.co;oe1;Pasajero;oa

# Registro que añadió tu compañero
isabella;isabella@javeriana.edu.co;345;Pasajero;Arquitectura
